nome,link,tipo,categoria
Popoli tutti acclamate.pdf,https://drive.google.com/file/d/0B125_qILHPJeME9QcGt3djFxTklzVG5QN3ZpVktscXg4TmFr/view?usp=drivesdk&resourcekey=0-eRIb0BMMvkTTGDDuAyysfA,testo,altro
Prendi questo pane e questo vino.pdf,https://drive.google.com/file/d/0B125_qILHPJeY2N0QS1SQTJsREN2MmtuZnF5aHNSYjh3Vi13/view?usp=drivesdk&resourcekey=0-dLTlpCl511mT0bCYQcJ8mQ,testo,altro
LI AMÒ SINO ALLA FINE.pdf,https://drive.google.com/file/d/0B125_qILHPJeZnpRcXZjNktVUklOWGJuQ0MwdktZZld1dnFj/view?usp=drivesdk&resourcekey=0-OS26qkyWhOJjIF5nY5DU_w,testo,altro
Tu scendi dalle stelle - spartito.pdf,https://drive.google.com/file/d/1CYiji6SYt7AeZuNrcVRexfFWv4Jpj33I/view?usp=drive_link,spartito,natale
Astro del ciel - spartito.pdf,https://drive.google.com/file/d/1FM4AFLbenm8MPz2dJeQJWu6319pLQL8J/view?usp=drive_link,spartito,natale
Bianco natale - spartito.pdf,https://drive.google.com/file/d/1P4wqlZnGdHYsR12RAlbljMlAtcrq0VxZ/view?usp=drive_link,spartito,natale
Alleluia pasquale - spartito.pdf,https://drive.google.com/file/d/1vfANjMGXGK8UJVSkfFOgiAg0TSfZeZRz/view?usp=drive_link,spartito,pasqua
Christus vincit - spartito.pdf,https://drive.google.com/file/d/1dqb7DDfs_FAfpQmQUQZKCW2OIdgVqL6t/view?usp=drive_link,spartito,pasqua
Cristo è risorto - spartito.pdf,https://drive.google.com/file/d/1XkWF1u8esT3r4DRnOPQGnK7r_CiKufTz/view?usp=drive_link,spartito,pasqua
Ave Maria - spartito.pdf,https://drive.google.com/file/d/0B125_qILHPJednRhY0NtY2FmRFpTTWRIdHRxaUVmZ1diMzNz/view?usp=drivesdk&resourcekey=0-yOpOaY5l2sB2JiQQZ80iKA,spartito,altro
Gloria a Dio - spartito.pdf,https://drive.google.com/file/d/0B125_qILHPJeVE44QWNrZHE1cnBIYXIzTHpVMmZtQzczeXNZ/view?usp=drivesdk&resourcekey=0-MGLiuEX5nHc-iEAjNpH87Q,spartito,altro
Salve Regina - spartito.pdf,https://drive.google.com/file/d/0B125_qILHPJeclJqVHNweGVYZTBvZVZSV3JiQ05XQUx2R1hZ/view?usp=drivesdk&resourcekey=0-2D7bEOoQH-YjF70TK4Lcxg,spartito,altro
Salmo 8 - spartito.pdf,https://drive.google.com/file/d/0B125_qILHPJed2JnbTM3TXNlalRNTlVGQ212LUktaFc4RUo0/view?usp=drivesdk&resourcekey=0-cdD_IVpwtaMbFEXZaYKg4Q,spartito,altro
